"term","local.Base.freq","Base.local.IC","local.Prop.freq","Propagated.local.IC"
"HP:0000700",0,0,0,0
"HP:0000703",0,0,0,0
"HP:0000703",0,0,0,0
"HP:0000704",0,0,0,0
"HP:0000704",0,0,0,0
"HP:0000704",0,0,0,0
"HP:0000705",0,0,0,0
"HP:0000706",0,0,0,0
"HP:0000707",0.0384615384615385,4.70043971814109,1,0
"HP:0000708",0.0384615384615385,4.70043971814109,0.576923076923077,0.238882088915137
"HP:0000709",0,0,0,0
"HP:0000710",0,0,0,0
"HP:0000711",0.0384615384615385,4.70043971814109,0.0384615384615385,1.41497334797082
"HP:0000712",0,0,0,0
"HP:0000713",0,0,0,0
"HP:0000716",0,0,0,0
"HP:0000717",0.0769230769230769,3.70043971814109,0.0769230769230769,1.11394335230684
"HP:0000718",0.115384615384615,3.11547721741994,0.115384615384615,0.937852093251155
"HP:0000719",0,0,0,0
"HP:0000720",0,0,0,0
"HP:0000721",0,0,0,0
"HP:0000722",0,0,0,0
"HP:0000723",0,0,0,0
"HP:0000725",0,0,0,0
"HP:0000726",0,0,0,0
"HP:0000727",0,0,0,0
"HP:0000728",0.0384615384615385,4.70043971814109,0.0384615384615385,1.41497334797082
"HP:0000729",0.115384615384615,3.11547721741994,0.192307692307692,0.716003343634799
"HP:0000732",0,0,0,0
"HP:0000733",0.0769230769230769,3.70043971814109,0.0769230769230769,1.11394335230684
"HP:0000734",0,0,0,0
"HP:0000735",0,0,0.0384615384615385,1.41497334797082
"HP:0000735",0,0,0.0384615384615385,1.41497334797082
"HP:0000736",0,0,0.346153846153846,0.460730838531493
"HP:0000737",0,0,0,0
"HP:0000738",0,0,0,0
"HP:0000739",0,0,0,0
"HP:0000740",0,0,0,0
"HP:0000741",0,0,0,0
"HP:0000742",0,0,0,0
"HP:0000743",0,0,0,0
"HP:0000744",0.0384615384615385,4.70043971814109,0.0384615384615385,1.41497334797082
"HP:0000745",0,0,0,0
"HP:0000746",0,0,0,0
"HP:0000748",0,0,0,0
"HP:0000749",0,0,0,0
"HP:0000750",0.346153846153846,1.53051471669878,0.346153846153846,0.460730838531493
"HP:0000751",0,0,0,0
"HP:0000752",0,0,0.346153846153846,0.460730838531493
"HP:0000753",0,0,0,0
"HP:0000756",0,0,0,0
"HP:0000757",0,0,0,0
"HP:0000758",0,0,0,0
"HP:0000759",0,0,0,0
"HP:0000762",0,0,0,0
"HP:0000763",0,0,0,0
"HP:0000764",0,0,0,0
"HP:0000765",0,0,0,0
"HP:0000766",0,0,0,0
"HP:0000767",0,0,0,0
"HP:0000768",0,0,0,0
"HP:0000769",0,0,0,0
"HP:0000771",0,0,0,0
"HP:0000772",0,0,0,0
"HP:0000773",0,0,0,0
"HP:0000774",0,0,0,0
"HP:0000775",0,0,0,0
"HP:0000776",0,0,0,0
"HP:0000776",0,0,0,0
"HP:0000777",0,0,0,0
"HP:0000777",0,0,0,0
"HP:0000778",0,0,0,0
"HP:0000782",0,0,0,0
"HP:0000786",0,0,0,0
"HP:0000787",0,0,0,0
"HP:0000789",0,0,0,0
"HP:0000790",0,0,0,0
"HP:0000790",0,0,0,0
"HP:0000791",0,0,0,0
"HP:0000793",0,0,0,0
"HP:0000794",0,0,0,0
"HP:0000795",0,0,0,0
"HP:0000795",0,0,0,0
"HP:0000796",0,0,0,0
"HP:0000798",0,0,0,0
"HP:0000799",0,0,0,0
"HP:0000800",0,0,0,0
"HP:0000802",0,0,0,0
"HP:0000802",0,0,0,0
"HP:0000803",0,0,0,0
"HP:0000803",0,0,0,0
"HP:0000804",0,0,0,0
"HP:0000805",0,0,0,0
"HP:0000807",0,0,0,0
"HP:0000808",0,0,0,0
"HP:0000809",0,0,0,0
"HP:0000811",0,0,0,0
"HP:0000812",0,0,0,0
"HP:0000813",0,0,0,0
"HP:0000815",0,0,0,0
"HP:0000816",0,0,0,0
"HP:0000817",0,0,0,0
"HP:0000818",0,0,0,0
"HP:0000819",0,0,0,0
"HP:0000819",0,0,0,0
"HP:0000820",0,0,0,0
"HP:0000821",0,0,0,0
"HP:0000822",0,0,0,0
"HP:0000823",0,0,0,0
"HP:0000823",0,0,0,0
"HP:0000824",0,0,0,0
"HP:0000824",0,0,0,0
"HP:0000825",0,0,0,0
"HP:0000826",0,0,0,0
"HP:0000828",0,0,0,0
"HP:0000829",0,0,0,0
"HP:0000830",0,0,0,0
"HP:0000831",0,0,0,0
"HP:0000831",0,0,0,0
"HP:0000832",0,0,0,0
"HP:0000833",0,0,0,0
"HP:0000834",0,0,0,0
"HP:0000835",0,0,0,0
"HP:0000836",0,0,0,0
"HP:0000837",0,0,0,0
"HP:0000837",0,0,0,0
"HP:0000839",0,0,0,0
"HP:0000839",0,0,0,0
"HP:0000840",0,0,0,0
"HP:0000841",0,0,0,0
"HP:0000842",0,0,0,0
"HP:0000842",0,0,0,0
"HP:0000843",0,0,0,0
"HP:0000845",0,0,0,0
"HP:0000846",0,0,0,0
"HP:0000847",0,0,0,0
"HP:0000848",0,0,0,0
"HP:0000849",0,0,0,0
"HP:0000851",0,0,0,0
"HP:0000852",0,0,0,0
"HP:0000853",0,0,0,0
"HP:0000854",0,0,0,0
"HP:0000855",0,0,0,0
"HP:0000857",0,0,0,0
"HP:0000858",0,0,0,0
"HP:0000859",0,0,0,0
"HP:0000860",0,0,0,0
"HP:0000863",0,0,0,0
"HP:0000863",0,0,0,0
"HP:0000864",0,0,0,0
"HP:0000866",0,0,0,0
"HP:0000867",0,0,0,0
"HP:0000868",0,0,0,0
"HP:0000869",0,0,0,0
"HP:0000870",0,0,0,0
"HP:0000871",0,0,0,0
"HP:0000872",0,0,0,0
"HP:0000872",0,0,0,0
"HP:0000873",0,0,0,0
"HP:0000875",0,0,0,0
"HP:0000876",0,0,0,0
